Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
683,Precinct 3003,Precinct 3003,Approve
684,Precinct 3003,Precinct 3003,Approve
685,Precinct 3003,Precinct 3003,Approve
686,Precinct 3003,Precinct 3003,Reject
687,Precinct 3003,Precinct 3003,Reject
688,Precinct 3003,Precinct 3003,Approve
689,Precinct 3003,Precinct 3003,Reject
690,Precinct 3003,Precinct 3003,Approve
691,Precinct 3003,Precinct 3003,Approve
692,Precinct 3003,Precinct 3003,Reject
693,Precinct 3003,Precinct 3003,Approve
694,Precinct 3003,Precinct 3003,Reject
695,Precinct 3003,Precinct 3003,Approve
696,Precinct 3003,Precinct 3003,Approve
697,Precinct 3003,Precinct 3003,Approve
698,Precinct 3003,Precinct 3003,Approve
699,Precinct 3003,Precinct 3003,Reject
700,Precinct 3003,Precinct 3003,Approve
701,Precinct 3003,Precinct 3003,Reject
702,Precinct 3003,Precinct 3003,Approve
703,Precinct 3003,Precinct 3003,Approve
704,Precinct 3003,Precinct 3003,Reject
705,Precinct 3003,Precinct 3003,Approve
706,Precinct 3003,Precinct 3003,Reject
707,Precinct 3003,Precinct 3003,Approve
708,Precinct 3003,Precinct 3003,Reject
709,Precinct 3003,Precinct 3003,Reject
710,Precinct 3003,Precinct 3003,Reject
711,Precinct 3003,Precinct 3003,Reject
712,Precinct 3003,Precinct 3003,Approve
713,Precinct 3003,Precinct 3003,Reject
714,Precinct 3003,Precinct 3003,Approve
715,Precinct 3003,Precinct 3003,Reject
716,Precinct 3003,Precinct 3003,Approve
717,Precinct 3003,Precinct 3003,Reject
718,Precinct 3003,Precinct 3003,Approve
719,Precinct 3003,Precinct 3003,Approve
720,Precinct 3003,Precinct 3003,Approve
721,Precinct 3003,Precinct 3003,Reject
722,Precinct 3003,Precinct 3003,Reject
723,Precinct 3003,Precinct 3003,Approve
724,Precinct 3003,Precinct 3003,Approve
725,Precinct 3003,Precinct 3003,Approve
726,Precinct 3003,Precinct 3003,Reject
727,Precinct 3003,Precinct 3003,Approve
728,Precinct 3003,Precinct 3003,Reject
729,Precinct 3003,Precinct 3003,Reject
730,Precinct 3003,Precinct 3003,Reject
731,Precinct 3003,Precinct 3003,Approve
732,Precinct 3003,Precinct 3003,Reject
733,Precinct 3003,Precinct 3003,Approve
734,Precinct 3003,Precinct 3003,Reject
735,Precinct 3003,Precinct 3003,Reject
736,Precinct 3003,Precinct 3003,Approve
737,Precinct 3003,Precinct 3003,Approve
738,Precinct 3003,Precinct 3003,Approve
739,Precinct 3003,Precinct 3003,Reject
740,Precinct 3003,Precinct 3003,Approve
741,Precinct 3003,Precinct 3003,Reject
742,Precinct 3003,Precinct 3003,Reject
743,Precinct 3003,Precinct 3003,Approve
744,Precinct 3003,Precinct 3003,Approve
745,Precinct 3003,Precinct 3003,Approve
746,Precinct 3003,Precinct 3003,Approve
747,Precinct 3003,Precinct 3003,Approve
748,Precinct 3003,Precinct 3003,Reject
749,Precinct 3003,Precinct 3003,Approve
750,Precinct 3003,Precinct 3003,Reject
751,Precinct 3003,Precinct 3003,Reject
752,Precinct 3003,Precinct 3003,Approve
753,Precinct 3003,Precinct 3003,Approve
754,Precinct 3003,Precinct 3003,Reject
755,Precinct 3003,Precinct 3003,Reject
756,Precinct 3003,Precinct 3003,Reject
757,Precinct 3003,Precinct 3003,Reject
758,Precinct 3003,Precinct 3003,Approve
759,Precinct 3003,Precinct 3003,Reject
760,Precinct 3003,Precinct 3003,Reject
761,Precinct 3003,Precinct 3003,Approve
762,Precinct 3003,Precinct 3003,Approve
763,Precinct 3003,Precinct 3003,Approve
764,Precinct 3003,Precinct 3003,Approve
765,Precinct 3003,Precinct 3003,Reject
766,Precinct 3003,Precinct 3003,Approve
767,Precinct 3003,Precinct 3003,Approve
768,Precinct 3003,Precinct 3003,Reject
769,Precinct 3003,Precinct 3003,Reject
770,Precinct 3003,Precinct 3003,Reject
771,Precinct 3003,Precinct 3003,Reject
772,Precinct 3003,Precinct 3003,Approve
773,Precinct 3003,Precinct 3003,Reject
774,Precinct 3003,Precinct 3003,Reject
775,Precinct 3003,Precinct 3003,Approve
776,Precinct 3003,Precinct 3003,Approve
777,Precinct 3003,Precinct 3003,Approve
778,Precinct 3003,Precinct 3003,Reject
779,Precinct 3003,Precinct 3003,Approve
780,Precinct 3003,Precinct 3003,Approve
781,Precinct 3003,Precinct 3003,Approve
782,Precinct 3003,Precinct 3003,Approve
783,Precinct 3003,Precinct 3003,Approve
784,Precinct 3003,Precinct 3003,Approve
785,Precinct 3003,Precinct 3003,Reject
786,Precinct 3003,Precinct 3003,Approve
787,Precinct 3003,Precinct 3003,Reject
788,Precinct 3003,Precinct 3003,Reject
789,Precinct 3003,Precinct 3003,Reject
790,Precinct 3003,Precinct 3003,Approve
791,Precinct 3003,Precinct 3003,Reject
792,Precinct 3003,Precinct 3003,Approve
793,Precinct 3003,Precinct 3003,Approve
794,Precinct 3003,Precinct 3003,Reject
795,Precinct 3003,Precinct 3003,Approve
796,Precinct 3003,Precinct 3003,Approve
797,Precinct 3003,Precinct 3003,Reject
798,Precinct 3003,Precinct 3003,Approve
799,Precinct 3003,Precinct 3003,Approve
800,Precinct 3003,Precinct 3003,Reject
801,Precinct 3003,Precinct 3003,Approve
802,Precinct 3003,Precinct 3003,Approve
803,Precinct 3003,Precinct 3003,Approve
804,Precinct 3003,Precinct 3003,Approve
805,Precinct 3003,Precinct 3003,Approve
806,Precinct 3003,Precinct 3003,Approve
807,Precinct 3003,Precinct 3003,Reject
808,Precinct 3003,Precinct 3003,Approve
809,Precinct 3003,Precinct 3003,Reject
810,Precinct 3003,Precinct 3003,Reject
811,Precinct 3003,Precinct 3003,Reject
812,Precinct 3003,Precinct 3003,Approve
813,Precinct 3003,Precinct 3003,Reject
814,Precinct 3003,Precinct 3003,Approve
815,Precinct 3003,Precinct 3003,Reject
816,Precinct 3003,Precinct 3003,Reject
817,Precinct 3003,Precinct 3003,Reject
818,Precinct 3003,Precinct 3003,Reject
819,Precinct 3003,Precinct 3003,Reject
820,Precinct 3003,Precinct 3003,Approve
821,Precinct 3003,Precinct 3003,Approve
822,Precinct 3003,Precinct 3003,Approve
823,Precinct 3003,Precinct 3003,Reject
824,Precinct 3003,Precinct 3003,Approve
825,Precinct 3003,Precinct 3003,Reject
826,Precinct 3003,Precinct 3003,Reject
827,Precinct 3003,Precinct 3003,Approve
828,Precinct 3003,Precinct 3003,Reject
829,Precinct 3003,Precinct 3003,Reject
830,Precinct 3003,Precinct 3003,Approve
831,Precinct 3003,Precinct 3003,Reject
832,Precinct 3003,Precinct 3003,Reject
833,Precinct 3003,Precinct 3003,Approve
834,Precinct 3003,Precinct 3003,Reject
835,Precinct 3003,Precinct 3003,Approve
836,Precinct 3003,Precinct 3003,Reject
837,Precinct 3003,Precinct 3003,Approve
838,Precinct 3003,Precinct 3003,Approve
839,Precinct 3003,Precinct 3003,Approve
840,Precinct 3003,Precinct 3003,Reject
841,Precinct 3003,Precinct 3003,Reject
842,Precinct 3003,Precinct 3003,Reject
843,Precinct 3003,Precinct 3003,Approve
844,Precinct 3003,Precinct 3003,Approve
845,Precinct 3003,Precinct 3003,Approve
846,Precinct 3003,Precinct 3003,Reject
847,Precinct 3003,Precinct 3003,Reject
848,Precinct 3003,Precinct 3003,Approve
849,Precinct 3003,Precinct 3003,Approve
850,Precinct 3003,Precinct 3003,Reject
851,Precinct 3003,Precinct 3003,Reject
852,Precinct 3003,Precinct 3003,Reject
853,Precinct 3003,Precinct 3003,Reject
854,Precinct 3003,Precinct 3003,Approve
855,Precinct 3003,Precinct 3003,Approve
856,Precinct 3003,Precinct 3003,Reject
857,Precinct 3003,Precinct 3003,Reject
858,Precinct 3003,Precinct 3003,Approve
859,Precinct 3003,Precinct 3003,Reject
860,Precinct 3003,Precinct 3003,Reject
861,Precinct 3003,Precinct 3003,Approve
862,Precinct 3003,Precinct 3003,Approve
863,Precinct 3003,Precinct 3003,Reject
864,Precinct 3003,Precinct 3003,Approve
865,Precinct 3003,Precinct 3003,Reject
866,Precinct 3003,Precinct 3003,Reject
867,Precinct 3003,Precinct 3003,Reject
868,Precinct 3003,Precinct 3003,Reject
869,Precinct 3003,Precinct 3003,Reject
870,Precinct 3003,Precinct 3003,Reject
871,Precinct 3003,Precinct 3003,Reject
872,Precinct 3003,Precinct 3003,Approve
873,Precinct 3003,Precinct 3003,Reject
874,Precinct 3003,Precinct 3003,Approve
875,Precinct 3003,Precinct 3003,Reject
876,Precinct 3003,Precinct 3003,Approve
877,Precinct 3003,Precinct 3003,Reject
878,Precinct 3003,Precinct 3003,Approve
879,Precinct 3003,Precinct 3003,Approve
880,Precinct 3003,Precinct 3003,Approve
881,Precinct 3003,Precinct 3003,Reject
882,Precinct 3003,Precinct 3003,Reject
883,Precinct 3003,Precinct 3003,Approve
884,Precinct 3003,Precinct 3003,Approve
885,Precinct 3003,Precinct 3003,Reject
886,Precinct 3003,Precinct 3003,Reject
887,Precinct 3003,Precinct 3003,Approve
888,Precinct 3003,Precinct 3003,Approve
889,Precinct 3003,Precinct 3003,Reject
890,Precinct 3003,Precinct 3003,Reject
891,Precinct 3003,Precinct 3003,Reject
892,Precinct 3003,Precinct 3003,Approve
893,Precinct 3003,Precinct 3003,Reject
894,Precinct 3003,Precinct 3003,Approve
895,Precinct 3003,Precinct 3003,Approve
896,Precinct 3003,Precinct 3003,Reject
897,Precinct 3003,Precinct 3003,Reject
898,Precinct 3003,Precinct 3003,Approve
899,Precinct 3003,Precinct 3003,Reject
900,Precinct 3003,Precinct 3003,Approve
901,Precinct 3003,Precinct 3003,Approve
902,Precinct 3003,Precinct 3003,Reject
903,Precinct 3003,Precinct 3003,Reject
904,Precinct 3003,Precinct 3003,Reject
905,Precinct 3003,Precinct 3003,Approve
906,Precinct 3003,Precinct 3003,Approve
907,Precinct 3003,Precinct 3003,Reject
908,Precinct 3003,Precinct 3003,Reject
909,Precinct 3003,Precinct 3003,Approve
910,Precinct 3003,Precinct 3003,Reject
911,Precinct 3003,Precinct 3003,Reject
912,Precinct 3003,Precinct 3003,Reject
913,Precinct 3003,Precinct 3003,Reject
914,Precinct 3003,Precinct 3003,Approve
915,Precinct 3003,Precinct 3003,Reject
916,Precinct 3003,Precinct 3003,Reject
917,Precinct 3003,Precinct 3003,Reject
918,Precinct 3003,Precinct 3003,Reject
919,Precinct 3003,Precinct 3003,Reject
920,Precinct 3003,Precinct 3003,Approve
921,Precinct 3003,Precinct 3003,Approve
922,Precinct 3003,Precinct 3003,Approve
923,Precinct 3003,Precinct 3003,Approve
924,Precinct 3003,Precinct 3003,Reject
925,Precinct 3003,Precinct 3003,Approve
926,Precinct 3003,Precinct 3003,Reject
927,Precinct 3003,Precinct 3003,Reject
928,Precinct 3003,Precinct 3003,Reject
929,Precinct 3003,Precinct 3003,Reject
930,Precinct 3003,Precinct 3003,Approve
931,Precinct 3003,Precinct 3003,Approve
932,Precinct 3003,Precinct 3003,Approve
933,Precinct 3003,Precinct 3003,Approve
934,Precinct 3003,Precinct 3003,Reject
935,Precinct 3003,Precinct 3003,Reject
936,Precinct 3003,Precinct 3003,Reject
937,Precinct 3003,Precinct 3003,Approve
938,Precinct 3003,Precinct 3003,Reject
939,Precinct 3003,Precinct 3003,Reject
940,Precinct 3003,Precinct 3003,Reject
941,Precinct 3003,Precinct 3003,Reject
942,Precinct 3003,Precinct 3003,Approve
943,Precinct 3003,Precinct 3003,Approve
944,Precinct 3003,Precinct 3003,Reject
945,Precinct 3003,Precinct 3003,Approve
946,Precinct 3003,Precinct 3003,Approve
947,Precinct 3003,Precinct 3003,Approve
948,Precinct 3003,Precinct 3003,Approve
949,Precinct 3003,Precinct 3003,Approve
950,Precinct 3003,Precinct 3003,Reject
951,Precinct 3003,Precinct 3003,Reject
952,Precinct 3003,Precinct 3003,Approve
953,Precinct 3003,Precinct 3003,Approve
954,Precinct 3003,Precinct 3003,Reject
955,Precinct 3003,Precinct 3003,Approve
956,Precinct 3003,Precinct 3003,Approve
957,Precinct 3003,Precinct 3003,Approve
958,Precinct 3003,Precinct 3003,Approve
959,Precinct 3003,Precinct 3003,Approve
960,Precinct 3003,Precinct 3003,Reject
961,Precinct 3003,Precinct 3003,Approve
962,Precinct 3003,Precinct 3003,Approve
963,Precinct 3003,Precinct 3003,Approve
964,Precinct 3003,Precinct 3003,Reject
965,Precinct 3003,Precinct 3003,Approve
966,Precinct 3003,Precinct 3003,Approve
967,Precinct 3003,Precinct 3003,Reject
968,Precinct 3003,Precinct 3003,Reject
969,Precinct 3003,Precinct 3003,Approve
970,Precinct 3003,Precinct 3003,Reject
971,Precinct 3003,Precinct 3003,Reject
972,Precinct 3003,Precinct 3003,Reject
973,Precinct 3003,Precinct 3003,Approve
974,Precinct 3003,Precinct 3003,Approve
975,Precinct 3003,Precinct 3003,Reject
976,Precinct 3003,Precinct 3003,Approve
977,Precinct 3003,Precinct 3003,Approve
978,Precinct 3003,Precinct 3003,Reject
979,Precinct 3003,Precinct 3003,Approve
980,Precinct 3003,Precinct 3003,Approve
981,Precinct 3003,Precinct 3003,Approve
982,Precinct 3003,Precinct 3003,Reject
983,Precinct 3003,Precinct 3003,Reject
984,Precinct 3003,Precinct 3003,Reject
985,Precinct 3003,Precinct 3003,Approve
986,Precinct 3003,Precinct 3003,Reject
987,Precinct 3003,Precinct 3003,Approve
988,Precinct 3003,Precinct 3003,Reject
989,Precinct 3003,Precinct 3003,Approve
990,Precinct 3003,Precinct 3003,Approve
991,Precinct 3003,Precinct 3003,Reject
992,Precinct 3003,Precinct 3003,Approve
993,Precinct 3003,Precinct 3003,Approve
994,Precinct 3003,Precinct 3003,Approve
995,Precinct 3003,Precinct 3003,Approve
996,Precinct 3003,Precinct 3003,Approve
997,Precinct 3003,Precinct 3003,Approve
998,Precinct 3003,Precinct 3003,Approve
999,Precinct 3003,Precinct 3003,Reject
1000,Precinct 3003,Precinct 3003,Reject
1001,Precinct 3003,Precinct 3003,Approve
1002,Precinct 3003,Precinct 3003,Approve
1003,Precinct 3003,Precinct 3003,Approve
1004,Precinct 3003,Precinct 3003,Approve
1005,Precinct 3003,Precinct 3003,Reject
1006,Precinct 3003,Precinct 3003,Approve
1007,Precinct 3003,Precinct 3003,Reject
1008,Precinct 3003,Precinct 3003,Approve
1009,Precinct 3003,Precinct 3003,Approve
1010,Precinct 3003,Precinct 3003,Reject
1011,Precinct 3003,Precinct 3003,Approve
1012,Precinct 3003,Precinct 3003,Reject
1013,Precinct 3003,Precinct 3003,Reject
1014,Precinct 3003,Precinct 3003,Reject
1015,Precinct 3003,Precinct 3003,Approve
1016,Precinct 3003,Precinct 3003,Approve
1017,Precinct 3003,Precinct 3003,Reject
1018,Precinct 3003,Precinct 3003,Reject
1019,Precinct 3003,Precinct 3003,Approve
1020,Precinct 3003,Precinct 3003,Approve
1021,Precinct 3003,Precinct 3003,Approve
1022,Precinct 3003,Precinct 3003,Reject
1023,Precinct 3003,Precinct 3003,Reject
1024,Precinct 3003,Precinct 3003,Reject
1025,Precinct 3003,Precinct 3003,Approve
1026,Precinct 3003,Precinct 3003,Approve
1027,Precinct 3003,Precinct 3003,Approve
1028,Precinct 3003,Precinct 3003,Approve
1029,Precinct 3003,Precinct 3003,Reject
1030,Precinct 3003,Precinct 3003,Approve
1031,Precinct 3003,Precinct 3003,Reject
1032,Precinct 3003,Precinct 3003,Approve
1033,Precinct 3003,Precinct 3003,Approve
1034,Precinct 3003,Precinct 3003,Reject
1035,Precinct 3003,Precinct 3003,Reject
1036,Precinct 3003,Precinct 3003,Approve
1037,Precinct 3003,Precinct 3003,Approve
1038,Precinct 3003,Precinct 3003,Reject
1039,Precinct 3003,Precinct 3003,Approve
1040,Precinct 3003,Precinct 3003,Reject
1041,Precinct 3003,Precinct 3003,Approve
1042,Precinct 3003,Precinct 3003,Reject
1043,Precinct 3003,Precinct 3003,Reject
1044,Precinct 3003,Precinct 3003,Reject
1045,Precinct 3003,Precinct 3003,Reject
1046,Precinct 3003,Precinct 3003,Reject
1047,Precinct 3003,Precinct 3003,Approve
1048,Precinct 3003,Precinct 3003,Approve
1049,Precinct 3003,Precinct 3003,Approve
1050,Precinct 3003,Precinct 3003,Reject
1051,Precinct 3003,Precinct 3003,Reject
1052,Precinct 3002,Precinct 3002,Reject
1053,Precinct 3002,Precinct 3002,Approve
1054,Precinct 3002,Precinct 3002,Reject
1055,Precinct 3002,Precinct 3002,Approve
1056,Precinct 3002,Precinct 3002,Reject
1057,Precinct 3002,Precinct 3002,Approve
1058,Precinct 3002,Precinct 3002,Reject
1059,Precinct 3002,Precinct 3002,Reject
1060,Precinct 3002,Precinct 3002,Approve
1061,Precinct 3002,Precinct 3002,Approve
1062,Precinct 3002,Precinct 3002,Approve
1063,Precinct 3002,Precinct 3002,Reject
1064,Precinct 3002,Precinct 3002,Reject
1065,Precinct 3002,Precinct 3002,Reject
1066,Precinct 3002,Precinct 3002,Reject
1067,Precinct 3002,Precinct 3002,Reject
1068,Precinct 3002,Precinct 3002,Reject
1069,Precinct 3002,Precinct 3002,Approve
1070,Precinct 3002,Precinct 3002,Approve
1071,Precinct 3002,Precinct 3002,Approve
1072,Precinct 3002,Precinct 3002,Approve
1073,Precinct 3002,Precinct 3002,Reject
1074,Precinct 3002,Precinct 3002,Reject
1075,Precinct 3002,Precinct 3002,Approve
1076,Precinct 3002,Precinct 3002,Approve
1077,Precinct 3002,Precinct 3002,Approve
1078,Precinct 3002,Precinct 3002,Approve
1079,Precinct 3002,Precinct 3002,Approve
1080,Precinct 3002,Precinct 3002,Reject
1081,Precinct 3002,Precinct 3002,Reject
1082,Precinct 3002,Precinct 3002,Reject
1083,Precinct 3002,Precinct 3002,Reject
1084,Precinct 3002,Precinct 3002,Approve
1085,Precinct 3002,Precinct 3002,Approve
1086,Precinct 3002,Precinct 3002,Approve
1087,Precinct 3002,Precinct 3002,Reject
1088,Precinct 3002,Precinct 3002,Reject
1089,Precinct 3002,Precinct 3002,Approve
1090,Precinct 3002,Precinct 3002,Reject
1091,Precinct 3002,Precinct 3002,Approve
1092,Precinct 3002,Precinct 3002,Approve
1093,Precinct 3002,Precinct 3002,Approve
1094,Precinct 3002,Precinct 3002,Reject
1095,Precinct 3002,Precinct 3002,Approve
1096,Precinct 3002,Precinct 3002,Reject
1097,Precinct 3002,Precinct 3002,Approve
1098,Precinct 3002,Precinct 3002,Reject
1099,Precinct 3002,Precinct 3002,Reject
1100,Precinct 3002,Precinct 3002,Approve
1101,Precinct 3002,Precinct 3002,Reject
1102,Precinct 3002,Precinct 3002,Approve
1103,Precinct 3002,Precinct 3002,Approve
1104,Precinct 3002,Precinct 3002,Approve
1105,Precinct 3002,Precinct 3002,Approve
1106,Precinct 3002,Precinct 3002,Reject
1107,Precinct 3002,Precinct 3002,Reject
1108,Precinct 3002,Precinct 3002,Approve
1109,Precinct 3002,Precinct 3002,Approve
1110,Precinct 3002,Precinct 3002,Approve
1111,Precinct 3002,Precinct 3002,Reject
1112,Precinct 3002,Precinct 3002,Approve
1113,Precinct 3002,Precinct 3002,Approve
1114,Precinct 3002,Precinct 3002,Approve
1115,Precinct 3002,Precinct 3002,Approve
1116,Precinct 3002,Precinct 3002,Approve
1117,Precinct 3002,Precinct 3002,Approve
1118,Precinct 3002,Precinct 3002,Approve
1119,Precinct 3002,Precinct 3002,Approve
1120,Precinct 3002,Precinct 3002,Approve
1121,Precinct 3002,Precinct 3002,Approve
1122,Precinct 3002,Precinct 3002,Approve
1123,Precinct 3002,Precinct 3002,Approve
1124,Precinct 3002,Precinct 3002,Approve
1125,Precinct 3002,Precinct 3002,Approve
1126,Precinct 3002,Precinct 3002,Reject
1127,Precinct 3002,Precinct 3002,Approve
1128,Precinct 3002,Precinct 3002,Approve
1129,Precinct 3002,Precinct 3002,Reject
1130,Precinct 3002,Precinct 3002,Reject
1131,Precinct 3002,Precinct 3002,Approve
1132,Precinct 3002,Precinct 3002,Reject
1133,Precinct 3002,Precinct 3002,Approve
1134,Precinct 3002,Precinct 3002,Reject
1135,Precinct 3002,Precinct 3002,Reject
1136,Precinct 3002,Precinct 3002,Approve
1137,Precinct 3002,Precinct 3002,Approve
1138,Precinct 3002,Precinct 3002,Reject
1139,Precinct 3002,Precinct 3002,Approve
1140,Precinct 3002,Precinct 3002,Approve
1141,Precinct 3002,Precinct 3002,Approve
1142,Precinct 3002,Precinct 3002,Reject
1143,Precinct 3002,Precinct 3002,Approve
1144,Precinct 3002,Precinct 3002,Approve
1145,Precinct 3002,Precinct 3002,Approve
1146,Precinct 3002,Precinct 3002,Approve
1147,Precinct 3002,Precinct 3002,Approve
1148,Precinct 3002,Precinct 3002,Reject
1149,Precinct 3002,Precinct 3002,Approve
1150,Precinct 3002,Precinct 3002,Reject
1151,Precinct 3002,Precinct 3002,Approve
1152,Precinct 3002,Precinct 3002,Approve
1153,Precinct 3002,Precinct 3002,Approve
1154,Precinct 3002,Precinct 3002,Reject
1155,Precinct 3002,Precinct 3002,Approve
1156,Precinct 3002,Precinct 3002,Reject
1157,Precinct 3002,Precinct 3002,Approve
1158,Precinct 3002,Precinct 3002,Reject
1159,Precinct 3002,Precinct 3002,Reject
1160,Precinct 3002,Precinct 3002,Reject
1161,Precinct 3002,Precinct 3002,Approve
1162,Precinct 3002,Precinct 3002,Approve
1163,Precinct 3002,Precinct 3002,Approve
1164,Precinct 3002,Precinct 3002,Reject
1165,Precinct 3002,Precinct 3002,Approve
1166,Precinct 3002,Precinct 3002,Approve
1167,Precinct 3002,Precinct 3002,Approve
1168,Precinct 3002,Precinct 3002,Approve
1169,Precinct 3002,Precinct 3002,Approve
1170,Precinct 3002,Precinct 3002,Approve
1171,Precinct 3002,Precinct 3002,Approve
1172,Precinct 3002,Precinct 3002,Approve
1173,Precinct 3002,Precinct 3002,Reject
1174,Precinct 3002,Precinct 3002,Reject
1175,Precinct 3002,Precinct 3002,Approve
1176,Precinct 3002,Precinct 3002,Reject
1177,Precinct 3002,Precinct 3002,Reject
1178,Precinct 3002,Precinct 3002,Reject
1179,Precinct 3002,Precinct 3002,Reject
1180,Precinct 3002,Precinct 3002,Approve
1181,Precinct 3002,Precinct 3002,Approve
1182,Precinct 3002,Precinct 3002,Approve
1183,Precinct 3002,Precinct 3002,Reject
1184,Precinct 3002,Precinct 3002,Reject
1185,Precinct 3002,Precinct 3002,Approve
1186,Precinct 3002,Precinct 3002,Approve
1187,Precinct 3002,Precinct 3002,Approve
1188,Precinct 3002,Precinct 3002,Reject
1189,Precinct 3002,Precinct 3002,Reject
1190,Precinct 3002,Precinct 3002,Reject
1191,Precinct 3002,Precinct 3002,Reject
1192,Precinct 3002,Precinct 3002,Reject
1193,Precinct 3002,Precinct 3002,Approve
1194,Precinct 3002,Precinct 3002,Approve
1195,Precinct 3002,Precinct 3002,Approve
1196,Precinct 3002,Precinct 3002,Approve
1197,Precinct 3002,Precinct 3002,Reject
1198,Precinct 3002,Precinct 3002,Reject
1199,Precinct 3002,Precinct 3002,Reject
1200,Precinct 3002,Precinct 3002,Approve
1201,Precinct 3002,Precinct 3002,Reject
1202,Precinct 3002,Precinct 3002,Approve
1203,Precinct 3002,Precinct 3002,Approve
1204,Precinct 3002,Precinct 3002,Approve
1205,Precinct 3002,Precinct 3002,Approve
1206,Precinct 3002,Precinct 3002,Reject
1207,Precinct 3002,Precinct 3002,Approve
1208,Precinct 3002,Precinct 3002,Approve
1209,Precinct 3002,Precinct 3002,Reject
1210,Precinct 3002,Precinct 3002,Reject
1211,Precinct 3002,Precinct 3002,Reject
1212,Precinct 3002,Precinct 3002,Reject
1213,Precinct 3002,Precinct 3002,Approve
1214,Precinct 3002,Precinct 3002,Reject
1215,Precinct 3002,Precinct 3002,Reject
1216,Precinct 3002,Precinct 3002,Approve
1217,Precinct 3002,Precinct 3002,Approve
1218,Precinct 3002,Precinct 3002,Approve
1219,Precinct 3002,Precinct 3002,Approve
1220,Precinct 3002,Precinct 3002,Approve
1221,Precinct 3002,Precinct 3002,Reject
1222,Precinct 3002,Precinct 3002,Approve
1223,Precinct 3002,Precinct 3002,Reject
1224,Precinct 3002,Precinct 3002,Reject
1225,Precinct 3002,Precinct 3002,Approve
1226,Precinct 3002,Precinct 3002,Reject
1227,Precinct 3002,Precinct 3002,Reject
1228,Precinct 3002,Precinct 3002,Reject
1229,Precinct 3002,Precinct 3002,Reject
1230,Precinct 3002,Precinct 3002,Approve
1231,Precinct 3002,Precinct 3002,Approve
1232,Precinct 3002,Precinct 3002,Reject
1233,Precinct 3002,Precinct 3002,Reject
1234,Precinct 3002,Precinct 3002,Approve
1235,Precinct 3002,Precinct 3002,Reject
1236,Precinct 3002,Precinct 3002,Approve
1237,Precinct 3002,Precinct 3002,Reject
1238,Precinct 3002,Precinct 3002,Approve
1239,Precinct 3002,Precinct 3002,Approve
1240,Precinct 3002,Precinct 3002,Reject
1241,Precinct 3002,Precinct 3002,Approve
1242,Precinct 3002,Precinct 3002,Approve
1243,Precinct 3002,Precinct 3002,Reject
1244,Precinct 3002,Precinct 3002,Reject
1245,Precinct 3002,Precinct 3002,Approve
1246,Precinct 3002,Precinct 3002,Approve
1247,Precinct 3002,Precinct 3002,Reject
1248,Precinct 3002,Precinct 3002,Approve
1249,Precinct 3002,Precinct 3002,Reject
1250,Precinct 3002,Precinct 3002,Approve
1251,Precinct 3002,Precinct 3002,Approve
1252,Precinct 3002,Precinct 3002,Reject
1253,Precinct 3002,Precinct 3002,Reject
1254,Precinct 3002,Precinct 3002,Approve
1255,Precinct 3002,Precinct 3002,Approve
1256,Precinct 3002,Precinct 3002,Approve
1257,Precinct 3002,Precinct 3002,Approve
1258,Precinct 3002,Precinct 3002,Reject
1259,Precinct 3002,Precinct 3002,Approve
1260,Precinct 3002,Precinct 3002,Reject
1261,Precinct 3002,Precinct 3002,Reject
1262,Precinct 3002,Precinct 3002,Approve
1263,Precinct 3002,Precinct 3002,Approve
1264,Precinct 3002,Precinct 3002,Reject
1265,Precinct 3002,Precinct 3002,Reject
1266,Precinct 3002,Precinct 3002,Approve
1267,Precinct 3002,Precinct 3002,Reject
1268,Precinct 3002,Precinct 3002,Approve
1269,Precinct 3002,Precinct 3002,Approve
1270,Precinct 3002,Precinct 3002,Approve
1271,Precinct 3002,Precinct 3002,Approve
1272,Precinct 3002,Precinct 3002,Approve
1273,Precinct 3002,Precinct 3002,Approve
1274,Precinct 3002,Precinct 3002,Approve
1275,Precinct 3002,Precinct 3002,Reject
1276,Precinct 3002,Precinct 3002,Approve
1277,Precinct 3002,Precinct 3002,Approve
1278,Precinct 3002,Precinct 3002,Approve
1279,Precinct 3002,Precinct 3002,Reject
1280,Precinct 3002,Precinct 3002,Reject
1281,Precinct 3002,Precinct 3002,Approve
1282,Precinct 3002,Precinct 3002,Approve
1283,Precinct 3002,Precinct 3002,Reject
1284,Precinct 3002,Precinct 3002,Approve
1285,Precinct 3002,Precinct 3002,Approve
1286,Precinct 3002,Precinct 3002,Reject
1287,Precinct 3002,Precinct 3002,Reject
1288,Precinct 3002,Precinct 3002,Reject
1289,Precinct 3002,Precinct 3002,Approve
1290,Precinct 3002,Precinct 3002,Approve
1291,Precinct 3002,Precinct 3002,Approve
1292,Precinct 3002,Precinct 3002,Reject
1293,Precinct 3002,Precinct 3002,Approve
1294,Precinct 3002,Precinct 3002,Approve
1295,Precinct 3002,Precinct 3002,Approve
1296,Precinct 3002,Precinct 3002,Reject
1297,Precinct 3002,Precinct 3002,Approve
1298,Precinct 3002,Precinct 3002,Approve
1299,Precinct 3002,Precinct 3002,Approve
